"era","n_songs","danceability","energy","valence","tempo","loudness","acousticness","speechiness","instrumentalness","liveness"
"1999-2002",712,0.628469101123596,0.689012640449438,0.554216292134831,117.134255617978,-6.34967696629213,0.162269759845506,0.0861585674157303,0.0130088219522472,0.183087640449438
"2003-2006",903,0.61299446290144,0.716107751937984,0.545530343300111,120.996239202658,-5.71444186046512,0.163514154008859,0.102652713178295,0.00914619861572536,0.199388372093023
"2007-2010",1022,0.592561643835616,0.731584148727984,0.521951859099804,125.08657925636,-5.37965655577299,0.148087685988258,0.0862753424657534,0.0105700912915851,0.205287279843444
"2011-2014",783,0.601883780332056,0.724648786717752,0.509348786717752,125.815526181354,-5.59967560664112,0.14438258339719,0.0870711366538953,0.00290392620689655,0.203285696040868
"2015-2019",659,0.660144157814871,0.638737481031866,0.459400758725341,121.497918057663,-6.50137329286798,0.181195347344461,0.148671623672231,0.00367191412746586,0.179383763277693
