"dataset","total_rows","charted_count","noncharted_count","class_ratio_0_to_1","additional_charted"
"Baseline (spotify_billboard_merged_full.csv)",128745,3618,125127,34.6,0
"Enriched (spotify_billboard_merged_enriched_full.csv)",128745,4079,124666,30.6,461
